CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE267251,06/15/2021 04:30:00 PM,003XX S SACRAMENTO BLVD,0325,ROBBERY,VEHICULAR HIJACKING,STREET,N,N,1124,28,03,1156435,1898257,41.876599436,-87.701085626,"(41.876599436, -87.701085626)"
JE143283,02/16/2021 05:35:00 PM,017XX W 119TH ST,0460,BATTERY,SIMPLE,RESTAURANT,N,N,2234,34,08B,1166691,1825767,41.677464116,-87.665495904,"(41.677464116, -87.665495904)"
JD390623,09/30/2020 12:00:00 PM,018XX N Sedgwick St,0810,THEFT,OVER $500,RESIDENCE,N,N,1814,43,06,1173303,1912547,41.915454333,-87.638727274,"(41.915454333, -87.638727274)"
JE285323,06/30/2021 08:23:00 PM,065XX S BISHOP ST,0460,BATTERY,SIMPLE,SIDEWALK,N,N,725,16,08B,1167788,1861475,41.775428827,-87.660458852,"(41.775428827, -87.660458852)"
JE247585,08/10/2020 12:00:00 PM,065XX S PEORIA ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,723,6,11,,,,,
JD381795,09/13/2020 12:00:00 PM,015XX N KINGSBURY ST,0810,THEFT,OVER $500,GROCERY FOOD STORE,Y,N,1822,27,06,1169505,1910252,41.909240284,-87.65274758,"(41.909240284, -87.65274758)"
JE148785,12/04/2020 11:50:00 AM,020XX N BURLING ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1812,43,11,,,,,
JE271994,06/19/2021 01:05:00 PM,0000X N DEARBORN ST,0870,THEFT,POCKET-PICKING,CTA PLATFORM,N,N,112,42,06,,,,,
JD394860,10/08/2020 07:30:00 AM,054XX N KEDZIE AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1712,40,06,1154065,1935878,41.979882033,-87.70878139,"(41.979882033, -87.70878139)"
JD393050,10/08/2020 05:10:00 PM,015XX N LINDER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2532,37,08B,1139392,1909706,41.90834437,-87.763383589,"(41.90834437, -87.763383589)"
JD392460,10/08/2020 08:20:00 AM,047XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2533,37,06,1144311,1910210,41.909636288,-87.745300725,"(41.909636288, -87.745300725)"
JD393039,10/08/2020 04:18:00 PM,014XX W 87TH ST,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,614,21,26,1168433,1847060,41.735858253,-87.658508857,"(41.735858253, -87.658508857)"
JD393465,10/08/2020 03:41:00 PM,019XX N RICHMOND ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1421,1,06,,,,,
JD393270,10/08/2020 09:01:00 PM,032XX N NEENAH AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,Y,N,1632,36,15,1132148,1920847,41.939045624,-87.789735454,"(41.939045624, -87.789735454)"
JD392482,10/08/2020 01:00:00 AM,002XX W 109TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,513,34,14,1176712,1832329,41.695252238,-87.628619487,"(41.695252238, -87.628619487)"
JD393025,10/08/2020 12:00:00 AM,058XX S SHIELDS AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,711,20,06,1174958,1866088,41.787930446,-87.634037012,"(41.787930446, -87.634037012)"
JD393323,10/08/2020 10:20:00 PM,053XX N WINTHROP AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,2023,48,04B,1167909,1935528,41.978633349,-87.65787885,"(41.978633349, -87.65787885)"
JE267415,06/15/2021 08:44:00 PM,053XX S WINCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,932,16,08B,1164258,1869338,41.797080971,-87.673178143,"(41.797080971, -87.673178143)"
JE267447,06/15/2021 08:30:00 PM,007XX E 111TH ST,0810,THEFT,OVER $500,POLICE FACILITY / VEHICLE PARKING LOT,N,N,531,9,06,1183356,1831503,41.692833841,-87.60431945,"(41.692833841, -87.60431945)"
JE267316,06/15/2021 06:55:00 PM,087XX S NORMAL AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,2223,21,08A,1174498,1846864,41.735187757,-87.636294797,"(41.735187757, -87.636294797)"
JE266387,06/15/2021 12:00:00 AM,006XX N KINGSBURY ST,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,PARK PROPERTY,Y,N,1831,42,15,1172736,1904345,41.892960189,-87.641053541,"(41.892960189, -87.641053541)"
JE266891,06/15/2021 12:54:00 PM,043XX N CLARENDON AVE,0584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,RESIDENCE,N,N,1915,46,26,1170136,1929025,41.96074046,-87.649879808,"(41.96074046, -87.649879808)"
JE266515,06/15/2021 07:25:00 AM,031XX S WELLS ST,0460,BATTERY,SIMPLE,TAXICAB,N,N,915,11,08B,1175129,1884197,41.837619404,-87.632868811,"(41.837619404, -87.632868811)"
JE267041,06/15/2021 05:30:00 AM,006XX N LA SALLE DR,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1832,42,06,1175015,1904892,41.894410424,-87.632667323,"(41.894410424, -87.632667323)"
JE266373,06/15/2021 12:28:00 AM,106XX S INDIANA AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,512,9,08A,1179465,1834482,41.701098117,-87.618474497,"(41.701098117, -87.618474497)"
JE267365,06/15/2021 07:20:00 PM,060XX W NORTH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2513,29,15,1135779,1910009,41.909240949,-87.776648938,"(41.909240949, -87.776648938)"
JE267452,06/15/2021 09:19:00 PM,057XX S LAKE SHORE DR,0820,THEFT,$500 AND UNDER,PARK PROPERTY,N,Y,331,5,06,1189729,1867390,41.791160785,-87.579836586,"(41.791160785, -87.579836586)"
JE267351,06/15/2021 07:33:00 PM,047XX W 63RD ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,813,13,06,1146030,1862417,41.778453309,-87.74019833,"(41.778453309, -87.74019833)"
JE266465,06/15/2021 05:09:00 AM,013XX N WICKER PARK AVE,031A,ROBBERY,ARMED - HANDGUN,ALLEY,N,N,1424,1,03,1164118,1909064,41.906095915,-87.672570551,"(41.906095915, -87.672570551)"
JE266405,06/15/2021 01:18:00 AM,098XX S MERRION AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,431,10,04A,1192813,1839912,41.715684174,-87.569423051,"(41.715684174, -87.569423051)"
JE267093,06/15/2021 04:16:00 PM,039XX W GLADYS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),N,N,1132,28,14,1150207,1898066,41.876198927,-87.723957984,"(41.876198927, -87.723957984)"
JD392378,10/08/2020 03:54:00 AM,079XX S MORGAN ST,0650,BURGLARY,HOME INVASION,APARTMENT,N,N,621,17,05,1171026,1852120,41.749687393,-87.648861611,"(41.749687393, -87.648861611)"
JD392479,10/08/2020 01:12:00 AM,021XX W 71ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,735,17,14,1163389,1857559,41.764776101,-87.676694732,"(41.764776101, -87.676694732)"
JD392598,10/08/2020 11:00:00 AM,010XX E 80TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,631,8,08B,1184744,1852175,41.74952786,-87.598591844,"(41.74952786, -87.598591844)"
JD392937,10/08/2020 03:45:00 PM,020XX N DAMEN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,CONVENIENCE STORE,N,N,1432,32,03,1162706,1913430,41.918106256,-87.677634735,"(41.918106256, -87.677634735)"
JD392821,10/08/2020 01:37:00 PM,048XX W IRVING PARK RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1634,45,07,1143291,1926152,41.953401827,-87.748648437,"(41.953401827, -87.748648437)"
JD393119,10/08/2020 06:00:00 PM,0000X E OHIO ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1834,42,06,1176358,1904198,41.892475851,-87.627755902,"(41.892475851, -87.627755902)"
JD393512,10/08/2020 09:00:00 PM,021XX N PARKSIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2515,36,14,1138368,1913842,41.91971264,-87.767044991,"(41.91971264, -87.767044991)"
JD397460,10/05/2020 12:01:00 AM,064XX N HOYNE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,2412,50,08A,1161132,1942760,41.998622155,-87.682599391,"(41.998622155, -87.682599391)"
JD397361,09/07/2020 03:00:00 PM,109XX S WALLACE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2233,34,11,1174256,1832240,41.695062798,-87.637614302,"(41.695062798, -87.637614302)"
JD394777,10/08/2020 09:24:00 PM,002XX S ASHLAND AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,GOVERNMENT BUILDING / PROPERTY,N,N,1231,27,26,1165785,1899039,41.878551176,-87.666733158,"(41.878551176, -87.666733158)"
JD395031,10/08/2020 07:00:00 PM,076XX S CICERO AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,833,18,06,1145727,1853720,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
JD392721,10/08/2020 01:00:00 PM,014XX W WARNER AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,1912,47,11,1166001,1927660,41.957084339,-87.665121229,"(41.957084339, -87.665121229)"
JD393038,10/08/2020 02:16:00 PM,032XX N PULASKI RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1731,30,06,1149164,1921062,41.93932248,-87.727190905,"(41.93932248, -87.727190905)"
JD393088,10/08/2020 05:57:00 PM,032XX N LAKE SHORE DR,0820,THEFT,$500 AND UNDER,STREET,N,N,1925,44,06,1173062,1921867,41.941034149,-87.639335535,"(41.941034149, -87.639335535)"
JD397044,09/23/2020 08:56:00 PM,013XX N MAYFIELD AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,2531,29,10,1136777,1908330,41.904615737,-87.773022962,"(41.904615737, -87.773022962)"
JD393117,10/08/2020 05:00:00 PM,056XX S WENTWORTH AVE,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,225,3,06,1175929,1867567,41.791967246,-87.630432429,"(41.791967246, -87.630432429)"
JD369759,09/16/2020 08:40:00 PM,0000X E HUBBARD ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,1834,42,04B,1176772,1903334,41.890095639,-87.626261615,"(41.890095639, -87.626261615)"
JD393658,10/08/2020 08:00:00 PM,012XX W ARTHUR AVE,0810,THEFT,OVER $500,STREET,N,N,2432,49,06,1166631,1943458,42.000421022,-87.662350234,"(42.000421022, -87.662350234)"
JD393540,10/08/2020 11:00:00 AM,044XX N MALDEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1913,46,14,1166744,1929494,41.962100976,-87.662336956,"(41.962100976, -87.662336956)"
JD392619,10/08/2020 11:20:00 AM,005XX S PULASKI RD,0870,THEFT,POCKET-PICKING,CTA TRAIN,N,N,1132,24,06,1149812,1897228,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
JD393916,10/08/2020 07:52:00 PM,034XX N WESTERN AVE,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,N,N,1921,32,06,1159769,1922729,41.94368445,-87.688168365,"(41.94368445, -87.688168365)"
JD394946,10/08/2020 12:30:00 AM,069XX S HALSTED ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,732,6,07,1172166,1858840,41.768102953,-87.644487,"(41.768102953, -87.644487)"
JD396957,10/06/2020 05:38:00 AM,053XX N MAGNOLIA AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,2013,48,26,1167000,1935672,41.979048109,-87.661217559,"(41.979048109, -87.661217559)"
JD392893,10/08/2020 12:01:00 AM,132XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,533,9,06,1179940,1817390,41.654184308,-87.61725535,"(41.654184308, -87.61725535)"
JD393181,10/08/2020 07:14:00 PM,061XX W FLETCHER ST,0460,BATTERY,SIMPLE,RESIDENCE,N,N,2511,30,08B,1134925,1920298,41.937490332,-87.779542104,"(41.937490332, -87.779542104)"
JD390825,10/06/2020 05:00:00 PM,028XX S ARCHER AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,Y,Y,913,11,04A,1169259,1886251,41.843385108,-87.654348758,"(41.843385108, -87.654348758)"
JD359744,09/07/2020 04:00:00 PM,065XX N SPOKANE AVE,0620,BURGLARY,UNLAWFUL ENTRY,ALLEY,N,N,1621,41,05,1140316,1942834,41.999233772,-87.759173908,"(41.999233772, -87.759173908)"
JD393549,10/08/2020 07:30:00 PM,039XX W GRENSHAW ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,1132,24,04A,1150300,1894750,41.867097632,-87.723702988,"(41.867097632, -87.723702988)"
JD393796,10/08/2020 08:00:00 PM,043XX W MAYPOLE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1114,28,05,1147471,1901103,41.88458567,-87.733925852,"(41.88458567, -87.733925852)"
JD393493,10/08/2020 02:00:00 PM,067XX N SHERIDAN RD,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2432,49,06,1167034,1944763,42.00399329,-87.66082998,"(42.00399329, -87.66082998)"
JD395207,10/08/2020 08:26:00 PM,034XX N WESTERN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1921,47,06,1159771,1922681,41.943552694,-87.688162342,"(41.943552694, -87.688162342)"
JD393229,10/08/2020 08:10:00 PM,014XX W THORNDALE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SCHOOL - PRIVATE GROUNDS,N,N,2013,48,03,1165660,1939641,41.989967907,-87.666031751,"(41.989967907, -87.666031751)"
JD393193,10/08/2020 07:01:00 PM,066XX S JUSTINE ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,Y,N,725,16,14,1167150,1860686,41.773277384,-87.66282024,"(41.773277384, -87.66282024)"
JD424989,11/08/2020 01:22:00 PM,072XX S KEDZIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,N,N,831,17,01A,1156291,1856439,41.761848394,-87.702741177,"(41.761848394, -87.702741177)"
JD393072,10/08/2020 05:37:00 PM,052XX W MADISON ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,DRUG STORE,N,N,1522,28,04B,1141512,1899523,41.880362084,-87.755847438,"(41.880362084, -87.755847438)"
JD395089,10/08/2020 02:00:00 PM,101XX S CALUMET AVE,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,511,9,06,1180372,1837727,41.709982123,-87.615054293,"(41.709982123, -87.615054293)"
JD384524,09/30/2020 02:57:00 PM,050XX S KILDARE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,815,14,06,1148546,1870920,41.801738883,-87.730755907,"(41.801738883, -87.730755907)"
JD393047,10/08/2020 05:00:00 PM,067XX S KOMENSKY AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,Y,833,13,04A,1150533,1859501,41.770364919,-87.723765615,"(41.770364919, -87.723765615)"
JD397089,10/01/2020 09:00:00 AM,043XX S WENTWORTH AVE,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,925,3,08A,1175650,1876440,41.816321863,-87.631189677,"(41.816321863, -87.631189677)"
JD394225,10/08/2020 02:54:00 PM,022XX W MONROE ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,N,Y,1223,27,08B,1161549,1899505,41.87991915,-87.682273874,"(41.87991915, -87.682273874)"
JD393096,10/08/2020 05:15:00 PM,031XX S LAKE SHORE DR NB,1570,SEX OFFENSE,PUBLIC INDECENCY,LAKEFRONT / WATERFRONT / RIVERBANK,N,N,211,4,17,1181875,1884375,41.837954218,-87.608109527,"(41.837954218, -87.608109527)"
JD392771,10/08/2020 01:25:00 PM,035XX S LAKE PARK AVE,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,212,4,08A,1181909,1881811,41.830917641,-87.608064205,"(41.830917641, -87.608064205)"
JD396722,10/08/2020 02:11:00 PM,001XX E HURON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1834,42,14,1177058,1905098,41.894929671,-87.625157838,"(41.894929671, -87.625157838)"
JD393092,10/08/2020 05:30:00 PM,077XX S SAGINAW AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,421,7,11,1195265,1854203,41.754839841,-87.559972503,"(41.754839841, -87.559972503)"
JD393293,10/08/2020 09:35:00 PM,030XX E 80TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,422,7,08B,1198031,1852513,41.750133687,-87.549892536,"(41.750133687, -87.549892536)"
JD393225,10/08/2020 08:15:00 PM,016XX N NARRAGANSETT AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,N,N,2513,29,04A,1133497,1910233,41.909895969,-87.785026873,"(41.909895969, -87.785026873)"
JD393091,10/08/2020 05:14:00 PM,045XX W OGDEN AVE,0810,THEFT,OVER $500,OTHER (SPECIFY),N,N,1013,22,06,1146570,1887238,41.846555612,-87.737587806,"(41.846555612, -87.737587806)"
JD368002,09/15/2020 01:30:00 PM,065XX S OAKLEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,Y,N,832,16,07,1162201,1861139,41.774624928,-87.680949573,"(41.774624928, -87.680949573)"
JE263639,08/30/2020 12:00:00 AM,032XX N DRAKE AVE,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,N,Y,1732,35,02,,,,,
JE129795,02/01/2021 10:41:00 PM,008XX W 69TH ST,5131,OTHER OFFENSE,VIOLENT OFFENDER - ANNUAL REGISTRATION,STREET,N,N,723,6,26,1171992,1859103,41.768828479,-87.645117076,"(41.768828479, -87.645117076)"
JD392423,10/08/2020 06:33:00 AM,006XX E 95TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE,N,N,633,9,15,1182327,1842123,41.722000319,-87.607759164,"(41.722000319, -87.607759164)"
JD392954,10/08/2020 03:40:00 PM,074XX N ROGERS AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,N,N,2422,49,03,1163235,1949221,42.016307171,-87.674680263,"(42.016307171, -87.674680263)"
